Лист;Строка;Тип связи;Книги;Номера деталей;Отметки источника;Комментарий
WK-20;59;Прямая замена по строке;K1623 ↔ K1626;K1619.03.00 ↔ K1626.03.00;;
WK-20;60;Прямая замена по строке;K1623 ↔ K1626;K1601.03.01.00 ↔ K1626.03.01.00;;
WK-20;61;Одинаковый номер;K1623 ↔ K1626;K1601.03.02.00 ↔ K1601.03.02.00;Да;
WK-20;62;Одинаковый номер;K1623 ↔ K1626;K1602.03.03.00 ↔ K1602.03.03.00;Да;
WK-20;63;Одинаковый номер;K1623 ↔ K1626;K1601.03.04.00 ↔ K1601.03.04.00;Да;
WK-20;64;Прямая замена по строке;K1623 ↔ K1626;K1602.03.05.00A ↔ K1625.03.05.00;;Взаимозаменяемы в целом: 1602 — обычный стальной канат, 1625 — стальной канат (спиральный/арматурный).
WK-20;65;Одинаковый номер;K1623 ↔ K1626;K1602.03.06.00 ↔ K1602.03.06.00;Да;
WK-20;66;Одинаковый номер;K1623 ↔ K1626;K1606.03.08.00 ↔ K1606.03.08.00;Да;
WK-20;67;Одинаковый номер;K1623 ↔ K1626;K1603.03.09.00 ↔ K1603.03.09.00;Да;
WK-20;68;Одинаковый номер;K1623 ↔ K1626;K1602.03.10.00 ↔ K1602.03.10.00;Да;Последняя производственная модель — K1643.03.10.00, требования к технологии производства и изготовления.
WK-20;69;Одинаковый номер;K1623 ↔ K1626;K1601.03.11.00A ↔ K1601.03.11.00A;Да;Последняя производственная модель — CK1601.03.11.00, требования к технологии производства и изготовления.
WK-20;70;Прямая замена по строке;K1623 ↔ K1626;K1602.03.12.00 ↔ K1626.03.12.00;;Последняя производственная модель — K1636.03.12.00, требования к технологии производства и изготовления.
WK-20;71;Одинаковый номер;K1623 ↔ K1626;K1601.03.13.00 ↔ K1601.03.13.00;Да;
WK-20;72;Прямая замена по строке;K1623 ↔ K1626;K1608.03.15.00 ↔ K1626.03.15.00;;
WK-20;73;Одинаковый номер;K1623 ↔ K1626;K1601.03.17.00 ↔ K1601.03.17.00;Да;
WK-20;74;Одинаковый номер;K1623 ↔ K1626;K1601.03.18.00 ↔ K1601.03.18.00;Да;
WK-20;75;Одинаковый номер;K1623 ↔ K1626;K1601.03.19.00 ↔ K1601.03.19.00;Да;
WK-20;76;Одинаковый номер;K1623 ↔ K1626;K1601.03.20.00A ↔ K1601.03.20.00A;Да;Последняя производственная модель — CK1601.03.20.00, требования к технологии производства и изготовления.
WK-20;77;Прямая замена по строке;K1623 ↔ K1626;K1609.03.21.00 ↔ K1626.03.21.00;;Не взаимозаменяемы: 1609 — портальное седло, 1626 — Г-образное седло.
WK-20;78;Прямая замена по строке;K1623 ↔ K1626;K1602.03.22.00 ↔ K1626.03.22.00;;
WK-20;79;Одинаковый номер;K1623 ↔ K1626;K1619.03.23.00 ↔ K1619.03.23.00;Да;
WK-20;80;Одинаковый номер;K1623 ↔ K1626;K1601.03.11.02.00 ↔ K1601.03.11.02.00;Да;
WK-20;81;Прямая замена по строке;K1623 ↔ K1626;K1612.04.00 ↔ K1626.04.00;;Взаимозаменяемы в целом
WK-20;82;Одинаковый номер;K1623 ↔ K1626;K1612.04.01.00 ↔ K1612.04.01.00;Да;
WK-20;83;Прямая замена по строке;K1623 ↔ K1626;K1612.04.00-01 ↔ K1801.04.01.00;;Стальной канат одинаковый.
